		250		31329.8	67	5.47761194	734		0						26		0	
	source ID	druid	Title	Length of Roll	Digitizing Operator	Digitizing Date	Total Digitizing Time (in minutes)	Date Completion	QC Operator	QC Date	Total Post Processing (Lightroom Time)	Total QC Time	QC Pass/Fail	Number of Scans	Notes	Import Date	Count Skip of Total Digitizing Time	Feet / min
Ampico	sul:ars0163_b128_217051b	mh440zx9542	Three little fishes															
Ampico	sul:ars0163_b128_216513	ck185kx6231	Moonlight serenade															
Ampico	sul:ars0163_b128_216573b	xr261vp4993	I didn't know what time it was															
Ampico	sul:ars0163_b128_216633b	cz230dd7888	Eleanor, I adore you, from Billy Rose's New aquacade															
Ampico	sul:ars0163_b128_216473	cx956dv0473	Two sleepy people															
Ampico	sul:ars0163_b128_216583	nv840dw2368	Selections from Pinocchio															
Ampico	sul:ars0163_b128_216603	tk052zq0210	Indian summer															
Ampico	sul:ars0163_b129_281011f	jb023vr9794	Sleepy head															
Ampico	sul:ars0163_b129_271051f	rq888bf2607	Baby in love															
Ampico	sul:ars0163_b129_291031f	tr479cc7741	Love will find a way															
Ampico	sul:ars0163_b129_311001	xn400zf2431	Say it with music															
Ampico	sul:ars0163_b129_591196	bf339rm8628	Honeydew selections															
Ampico	sul:ars0163_b129_281061f	ks498xy4448	Poor me															
Ampico	sul:ars0163_b129_271061	tq986pt8896	Oh me! Oh my!															
Ampico	sul:ars0163_b129_281021f	gc410sk7634	Toddle															
Ampico	sul:ars0163_b129_301011f	bh557gh4368	In my tippy canoe															
Ampico	sul:ars0163_b129_321021f	rm169vn1506	Sal-o-may															
Ampico	sul:ars0163_b129_321001	hc972mc4787	Apache love															
PRIORITY	sul:ars0163_da_6081_4	dk128yj2801	Test roll	477.2	Astrid	12/13/2017	24								first scan errored, time includes both (9:44 for first one)			
PRIORITY	sul:ars0163_da_6397	zn304qd4661	Test roll		TC	12/13/2017	5											
PRIORITY	sul:ars0163_da_5711	xz819zn8689	Test roll	524	TC	12/13/2017	6											
PRIORITY	sul:ars0163_wm_1773	hp499sx3004	Test roll		WV	12/13/2017	7											
PRIORITY	sul:ars0163_wm_b6138	yh377gm6243	Test roll	461.2	DC		19								frame duplication			
PRIORITY	sul:ars0163_da_6794_6	zn710vt8945	Test roll	569.8	DC	12/13/2017	8											
PRIORITY	sul:ars0163_wm_otr	nb834nm6635	Official test roll for the Welte-Mignon	496.4	DC	12/13/2017	16								Frame duplication; difficult rewind			
PRIORITY	sul:ars0163_da_wm_dt	wz541qk5741	Test roll		WV	12/13/2017	4											
PRIORITY	sul:ars0163_wm_dtr	yt016mk6236	Test roll	439.2	DC	12/13/2017	14								frame duplication			
PRIORITY	sul:ars0163_da_hmtr	km278ct2792	Home made test roll	217	Astrid	12/13/2017	13								small tear held up with teflon bone folder			
PRIORITY	sul:ars0163_am_61391h	qx423yq1605	Inspector's Ampico test roll	370.9	DC	12/13/2017	14								frame duplication			
PRIORITY	sul:ars0163_da_tr_3	jr540qn0805	Test roll	391.6	Astrid	12/13/2017	14											
PRIORITY	sul:ars0163_da_dt_1994	hq911yh4385	Duo_Art Dynamic Tester (1994)	173.3	DC	12/13/2017	9								frame duplication			
PRIORITY	sul:ars0163_am_70403	pf761yp4945	Test roll	630.8	Astrid	12/13/2017	19								sourceID says 70403h			
PRIORITY	sul:ars0163_wm_11	cx178xw6230	Welte-Mignon test roll no. 11 [ on roll; box is different]		WV	12/13/2017												
PRIORITY	sul:ars0163_am_70601	qm282tw2887	Test roll : note compensation only (1929)	201	TC	12/13/2017	3											
PRIORITY	sul:ars0163_wm_mtr	qq869zv9158	Test roll	284.5	Megan	12/15/2017	5											
	sul:ars0163_cr157_r28	vy872yf5701	Concerto in A minor : allegro affetuoso															
	sul:ars0163_cr1_r57	py987gg6088	Faust prelude	715.1	Megan	12/15/2017	34								Frame duplication. F:\ volume disconnected during scan.			
	sul:ars0163_cr11_r106	mt155yk4133	Pagliacci : prologo	891.2	DC	12/15/2017	15											
	sul:ars0163_cr48_r225	tj533pb3370	Kinderscenen : Traumerei															
	sul:ars0163_cr61_r245	mj502fy3866	Waltz, op. 42 A-flat major	622	Megan	12/15/2017	15											
	sul:ars0163_cr73_r296	zb160bd9850	Suites, piano, op. 204 : Rigaudon															
	sul:ars0163_cr821_r321	gb287fq8412	Carnaval : selections															
	sul:ars0163_cr85_r323	tt832yh4966	Carnaval : selections	674	DC	12/15/2017												
	sul:ars0163_cr109_c2_r367	vf851qs3534	Unknown title															
	sul:ars0163_cr111_r371	xr499qs1266	Kleiner Walzer	459.6	Megan	12/15/2017	15								Frame duplication.			
	sul:ars0163_cr121_r376	vz353vy6324	Stucke aus Tannhauser und Lohengrin	766.6	Megan	12/15/2017	14											
	sul:ars0163_cr125_r386	hm136vg1420	Stucke, op. 119 : Intermezzo	221	DC	12/15/2017	9											
	sul:ars0163_cr175_r444	wf895xd1180	Grandes etudes de Paganini : Campanella	571.7	Megan	12/15/2017	15								Frame duplication			
	sul:ars0163_cr167_r498	dp828pq0218	Waltz, op. 64, no. 2															
	sul:ars0163_cr207_c2_r561	vk334wh5897	Sonata, no. 8, op. 13 : Andante cantabile															
	sul:ars0163_cr208_r562	cv818xt7659	Sonata, no. 8, op. 13 : Rondo															
	sul:ars0163_cr221_r570	mj479nk1153	Liebestraume no. 3	646.5	Megan	12/15/2017	7											
	sul:ars0163_cr217_r590	sh954gz9635	Waltzes, op. 39 : selections															
